camera_id,camera_Location,Species,survey_id,class,Day,Night,Camara_Buffer,Buffer,Locacion,Longitude,Latitude,HEH_18_Mean,HEH_70_Mean,HEH_dif_Mean
CTPC_002,CTPC,Myrmecophaga_tridactyla,Casanare,Mammalia,0,1,CTPC_002_250,250,Casanare,-72.72425,4.96862,65,17,48
CTPC_002,CTPC,Myrmecophaga_tridactyla,Casanare,Mammalia,0,1,CTPC_002_500,500,Casanare,-72.72425,4.96862,63.77777778,17,46.77777778
CTPC_002,CTPC,Myrmecophaga_tridactyla,Casanare,Mammalia,0,1,CTPC_002_1000,1000,Casanare,-72.72425,4.96862,64.6875,16.625,48.0625
CTPC_002,CTPC,Myrmecophaga_tridactyla,Casanare,Mammalia,0,1,CTPC_002_750,750,Casanare,-72.72425,4.96862,64.22222222,17,47.22222222
CTPC_002,CTPC,Myrmecophaga_tridactyla,Casanare,Mammalia,0,1,CTPC_002_2000,2000,Casanare,-72.72425,4.96862,65.6875,16.34375,49.34375
CTPC_002,CTPC,Bubulcus_ibis,Casanare,Aves,0,1,CTPC_002_250,250,Casanare,-72.72425,4.96862,65,17,48
CTPC_002,CTPC,Bubulcus_ibis,Casanare,Aves,0,1,CTPC_002_500,500,Casanare,-72.72425,4.96862,63.77777778,17,46.77777778
CTPC_002,CTPC,Bubulcus_ibis,Casanare,Aves,0,1,CTPC_002_1000,1000,Casanare,-72.72425,4.96862,64.6875,16.625,48.0625
CTPC_002,CTPC,Bubulcus_ibis,Casanare,Aves,0,1,CTPC_002_750,750,Casanare,-72.72425,4.96862,64.22222222,17,47.22222222
CTPC_002,CTPC,Bubulcus_ibis,Casanare,Aves,0,1,CTPC_002_2000,2000,Casanare,-72.72425,4.96862,65.6875,16.34375,49.34375
CTPC_002,CTPC,Dasypus_novemcinctus,Casanare,Mammalia,0,1,CTPC_002_250,250,Casanare,-72.72425,4.96862,65,17,48
CTPC_002,CTPC,Dasypus_novemcinctus,Casanare,Mammalia,0,1,CTPC_002_500,500,Casanare,-72.72425,4.96862,63.77777778,17,46.77777778
CTPC_002,CTPC,Dasypus_novemcinctus,Casanare,Mammalia,0,1,CTPC_002_1000,1000,Casanare,-72.72425,4.96862,64.6875,16.625,48.0625
CTPC_002,CTPC,Dasypus_novemcinctus,Casanare,Mammalia,0,1,CTPC_002_750,750,Casanare,-72.72425,4.96862,64.22222222,17,47.22222222
CTPC_002,CTPC,Dasypus_novemcinctus,Casanare,Mammalia,0,1,CTPC_002_2000,2000,Casanare,-72.72425,4.96862,65.6875,16.34375,49.34375
CTPC_002,CTPC,Crypturellus_soui,Casanare,Aves,0,1,CTPC_002_250,250,Casanare,-72.72425,4.96862,65,17,48
CTPC_002,CTPC,Crypturellus_soui,Casanare,Aves,0,1,CTPC_002_500,500,Casanare,-72.72425,4.96862,63.77777778,17,46.77777778
CTPC_002,CTPC,Crypturellus_soui,Casanare,Aves,0,1,CTPC_002_1000,1000,Casanare,-72.72425,4.96862,64.6875,16.625,48.0625
CTPC_002,CTPC,Crypturellus_soui,Casanare,Aves,0,1,CTPC_002_750,750,Casanare,-72.72425,4.96862,64.22222222,17,47.22222222
CTPC_002,CTPC,Crypturellus_soui,Casanare,Aves,0,1,CTPC_002_2000,2000,Casanare,-72.72425,4.96862,65.6875,16.34375,49.34375
CTPC_002,CTPC,Canis_familiaris,Casanare,Mammalia,0,1,CTPC_002_250,250,Casanare,-72.72425,4.96862,65,17,48
CTPC_002,CTPC,Canis_familiaris,Casanare,Mammalia,0,1,CTPC_002_500,500,Casanare,-72.72425,4.96862,63.77777778,17,46.77777778
CTPC_002,CTPC,Canis_familiaris,Casanare,Mammalia,0,1,CTPC_002_1000,1000,Casanare,-72.72425,4.96862,64.6875,16.625,48.0625
CTPC_002,CTPC,Canis_familiaris,Casanare,Mammalia,0,1,CTPC_002_750,750,Casanare,-72.72425,4.96862,64.22222222,17,47.22222222
CTPC_002,CTPC,Canis_familiaris,Casanare,Mammalia,0,1,CTPC_002_2000,2000,Casanare,-72.72425,4.96862,65.6875,16.34375,49.34375
CTPC_002,CTPC,Ortalis_ruficauda,Casanare,Aves,0,1,CTPC_002_250,250,Casanare,-72.72425,4.96862,65,17,48
CTPC_002,CTPC,Ortalis_ruficauda,Casanare,Aves,0,1,CTPC_002_500,500,Casanare,-72.72425,4.96862,63.77777778,17,46.77777778
CTPC_002,CTPC,Ortalis_ruficauda,Casanare,Aves,0,1,CTPC_002_1000,1000,Casanare,-72.72425,4.96862,64.6875,16.625,48.0625
CTPC_002,CTPC,Ortalis_ruficauda,Casanare,Aves,0,1,CTPC_002_750,750,Casanare,-72.72425,4.96862,64.22222222,17,47.22222222
CTPC_002,CTPC,Ortalis_ruficauda,Casanare,Aves,0,1,CTPC_002_2000,2000,Casanare,-72.72425,4.96862,65.6875,16.34375,49.34375
CTPC_002,CTPC,Equus_caballus,Casanare,Mammalia,0,1,CTPC_002_250,250,Casanare,-72.72425,4.96862,65,17,48
CTPC_002,CTPC,Equus_caballus,Casanare,Mammalia,0,1,CTPC_002_500,500,Casanare,-72.72425,4.96862,63.77777778,17,46.77777778
CTPC_002,CTPC,Equus_caballus,Casanare,Mammalia,0,1,CTPC_002_1000,1000,Casanare,-72.72425,4.96862,64.6875,16.625,48.0625
CTPC_002,CTPC,Equus_caballus,Casanare,Mammalia,0,1,CTPC_002_750,750,Casanare,-72.72425,4.96862,64.22222222,17,47.22222222
CTPC_002,CTPC,Equus_caballus,Casanare,Mammalia,0,1,CTPC_002_2000,2000,Casanare,-72.72425,4.96862,65.6875,16.34375,49.34375
CTPC_002,CTPC,Leptotila_rufaxilla,Casanare,Aves,0,1,CTPC_002_250,250,Casanare,-72.72425,4.96862,65,17,48
CTPC_002,CTPC,Leptotila_rufaxilla,Casanare,Aves,0,1,CTPC_002_500,500,Casanare,-72.72425,4.96862,63.77777778,17,46.77777778
CTPC_002,CTPC,Leptotila_rufaxilla,Casanare,Aves,0,1,CTPC_002_1000,1000,Casanare,-72.72425,4.96862,64.6875,16.625,48.0625
CTPC_002,CTPC,Leptotila_rufaxilla,Casanare,Aves,0,1,CTPC_002_750,750,Casanare,-72.72425,4.96862,64.22222222,17,47.22222222
CTPC_002,CTPC,Leptotila_rufaxilla,Casanare,Aves,0,1,CTPC_002_2000,2000,Casanare,-72.72425,4.96862,65.6875,16.34375,49.34375
CTPC_002,CTPC,Odocoileus_virginianus,Casanare,Mammalia,0,1,CTPC_002_250,250,Casanare,-72.72425,4.96862,65,17,48
CTPC_002,CTPC,Odocoileus_virginianus,Casanare,Mammalia,0,1,CTPC_002_500,500,Casanare,-72.72425,4.96862,63.77777778,17,46.77777778
CTPC_002,CTPC,Odocoileus_virginianus,Casanare,Mammalia,0,1,CTPC_002_1000,1000,Casanare,-72.72425,4.96862,64.6875,16.625,48.0625
CTPC_002,CTPC,Odocoileus_virginianus,Casanare,Mammalia,0,1,CTPC_002_750,750,Casanare,-72.72425,4.96862,64.22222222,17,47.22222222
CTPC_002,CTPC,Odocoileus_virginianus,Casanare,Mammalia,0,1,CTPC_002_2000,2000,Casanare,-72.72425,4.96862,65.6875,16.34375,49.34375
CTPC_003,CTPC,Cyanocorax_violaceus,Casanare,Aves,1,0,CTPC_003_250,250,Casanare,-72.7148,4.96938,65,17,48
CTPC_003,CTPC,Cyanocorax_violaceus,Casanare,Aves,1,0,CTPC_003_500,500,Casanare,-72.7148,4.96938,65.33333333,17,48.33333333
CTPC_003,CTPC,Cyanocorax_violaceus,Casanare,Aves,1,0,CTPC_003_750,750,Casanare,-72.7148,4.96938,65.9,17.45,48.45
CTPC_003,CTPC,Cyanocorax_violaceus,Casanare,Aves,1,0,CTPC_003_2000,2000,Casanare,-72.7148,4.96938,66.1221374,17.96183206,48.16030534
CTPC_003,CTPC,Cyanocorax_violaceus,Casanare,Aves,1,0,CTPC_003_1000,1000,Casanare,-72.7148,4.96938,66.23529412,17.70588235,48.52941176
CTPC_003,CTPC,Mazama_americana,Casanare,Mammalia,1,0,CTPC_003_250,250,Casanare,-72.7148,4.96938,65,17,48
CTPC_003,CTPC,Mazama_americana,Casanare,Mammalia,1,0,CTPC_003_500,500,Casanare,-72.7148,4.96938,65.33333333,17,48.33333333
CTPC_003,CTPC,Mazama_americana,Casanare,Mammalia,1,0,CTPC_003_750,750,Casanare,-72.7148,4.96938,65.9,17.45,48.45
CTPC_003,CTPC,Mazama_americana,Casanare,Mammalia,1,0,CTPC_003_2000,2000,Casanare,-72.7148,4.96938,66.1221374,17.96183206,48.16030534
CTPC_003,CTPC,Mazama_americana,Casanare,Mammalia,1,0,CTPC_003_1000,1000,Casanare,-72.7148,4.96938,66.23529412,17.70588235,48.52941176
CTPC_003,CTPC,Herpailurus_yagouaroundi,Casanare,Mammalia,1,0,CTPC_003_250,250,Casanare,-72.7148,4.96938,65,17,48
CTPC_003,CTPC,Herpailurus_yagouaroundi,Casanare,Mammalia,1,0,CTPC_003_500,500,Casanare,-72.7148,4.96938,65.33333333,17,48.33333333
CTPC_003,CTPC,Herpailurus_yagouaroundi,Casanare,Mammalia,1,0,CTPC_003_750,750,Casanare,-72.7148,4.96938,65.9,17.45,48.45
CTPC_003,CTPC,Herpailurus_yagouaroundi,Casanare,Mammalia,1,0,CTPC_003_2000,2000,Casanare,-72.7148,4.96938,66.1221374,17.96183206,48.16030534
CTPC_003,CTPC,Herpailurus_yagouaroundi,Casanare,Mammalia,1,0,CTPC_003_1000,1000,Casanare,-72.7148,4.96938,66.23529412,17.70588235,48.52941176
CTPC_003,CTPC,Ortalis_ruficauda,Casanare,Aves,1,0,CTPC_003_250,250,Casanare,-72.7148,4.96938,65,17,48
CTPC_003,CTPC,Ortalis_ruficauda,Casanare,Aves,1,0,CTPC_003_500,500,Casanare,-72.7148,4.96938,65.33333333,17,48.33333333
CTPC_003,CTPC,Ortalis_ruficauda,Casanare,Aves,1,0,CTPC_003_750,750,Casanare,-72.7148,4.96938,65.9,17.45,48.45
CTPC_003,CTPC,Ortalis_ruficauda,Casanare,Aves,1,0,CTPC_003_2000,2000,Casanare,-72.7148,4.96938,66.1221374,17.96183206,48.16030534
CTPC_003,CTPC,Ortalis_ruficauda,Casanare,Aves,1,0,CTPC_003_1000,1000,Casanare,-72.7148,4.96938,66.23529412,17.70588235,48.52941176
CTPC_003,CTPC,Homo_sapiens,Casanare,Mammalia,1,0,CTPC_003_250,250,Casanare,-72.7148,4.96938,65,17,48
CTPC_003,CTPC,Homo_sapiens,Casanare,Mammalia,1,0,CTPC_003_500,500,Casanare,-72.7148,4.96938,65.33333333,17,48.33333333
CTPC_003,CTPC,Homo_sapiens,Casanare,Mammalia,1,0,CTPC_003_750,750,Casanare,-72.7148,4.96938,65.9,17.45,48.45
CTPC_003,CTPC,Homo_sapiens,Casanare,Mammalia,1,0,CTPC_003_2000,2000,Casanare,-72.7148,4.96938,66.1221374,17.96183206,48.16030534
CTPC_003,CTPC,Homo_sapiens,Casanare,Mammalia,1,0,CTPC_003_1000,1000,Casanare,-72.7148,4.96938,66.23529412,17.70588235,48.52941176
CTPC_003,CTPC,Cuniculus_paca,Casanare,Mammalia,0,1,CTPC_003_250,250,Casanare,-72.7148,4.96938,65,17,48
CTPC_003,CTPC,Cuniculus_paca,Casanare,Mammalia,0,1,CTPC_003_500,500,Casanare,-72.7148,4.96938,65.33333333,17,48.33333333
CTPC_003,CTPC,Cuniculus_paca,Casanare,Mammalia,0,1,CTPC_003_750,750,Casanare,-72.7148,4.96938,65.9,17.45,48.45
CTPC_003,CTPC,Cuniculus_paca,Casanare,Mammalia,0,1,CTPC_003_2000,2000,Casanare,-72.7148,4.96938,66.1221374,17.96183206,48.16030534
