"Species","Class","Buffer_size","Intercept","Intercept_SE","Beta_estimate","Beta_SE","P_value","AIC","AIC_model_set","Significance","sample_size","n_of_records","warnings","Intercept_coef_prob","Beta_estimate_coef_prob"
"Bos_taurus","Mammalia",750,0.572013676161733,0.275964946897826,0.0114429082429487,0.00454378984463885,0.0117902033804246,382.220332096561,"Bos_taurus 750","Significant",102,991,"_",0.639227690460499,0.50286069584581
"Bos_taurus","Mammalia",1000,0.577809295870891,0.278768922956509,0.0113600619258693,0.00459863687120629,0.0134995741194436,382.445896034704,"Bos_taurus 1000","Significant",102,991,"_",0.640563169717387,0.502839984939623
"Canis_familiaris","Mammalia",250,2.0260025220081,0.812406350990969,-0.00199276397876551,0.0126147421544029,0.874479616298827,178.736819271401,"Canis_familiaris 250","Non-Significant",116,369,"_",0.883500257654065,0.499501809170173
"Canis_familiaris","Mammalia",500,2.40968389567573,0.877755913765163,-0.00798139500039145,0.013449630008631,0.55289435867899,178.399334435348,"Canis_familiaris 500","Non-Significant",116,369,"_",0.917562774476597,0.498004661842254
"Canis_familiaris","Mammalia",750,2.13285667747318,0.874181787122582,-0.00366565949105299,0.013519350013519,0.786282053538704,178.687501594491,"Canis_familiaris 750","Non-Significant",116,369,"_",0.894055897424504,0.499083586153395
"Canis_familiaris","Mammalia",1000,2.29711125233715,0.902845920052106,-0.00625638827841234,0.0139570307718304,0.653965065400629,178.556656147984,"Canis_familiaris 1000","Non-Significant",116,369,"_",0.908637511404903,0.498435908032252
"Catharus_ustulatus","Aves",250,-0.072710216861298,0.777433203827216,0.0744902587321625,0.0203199865580484,0.000246507208054722,168.293241567278,"Catharus_ustulatus 250","Significant",51,546,"_",0.481830449940647,0.518613958386661
"Catharus_ustulatus","Aves",500,-1.206254401377,0.835629620041618,0.100680473689981,0.021847378590103,0.00000405867505700496,158.656696579892,"Catharus_ustulatus 500","Significant",51,546,"_",0.230364462356397,0.525148878422303
"Catharus_ustulatus","Aves",750,-0.0342346097174291,0.915588216775946,0.0704910066627869,0.0226436638345296,0.00185160517616398,172.338560728859,"Catharus_ustulatus 750","Significant",51,546,"_",0.491442183373804,0.517615458028523
"Catharus_ustulatus","Aves",1000,0.473821383404897,0.993778234386661,0.0578979462463038,0.0240844001228013,0.0162185262006394,176.43094098645,"Catharus_ustulatus 1000","Significant",51,546,"_",0.616287826865669,0.514470444502275
"Cerdocyon_thous","Mammalia",250,-2.85841973515296,1.37579120438244,0.0131112318159285,0.0207289821974076,0.527055463352103,157.10793588071,"Cerdocyon_thous 250","Non-Significant",56,294,"_",0.0542477187304474,0.503277760998989
"Cerdocyon_thous","Mammalia",500,-4.09742890394228,1.82997538883813,0.0317103862482333,0.0272428139441943,0.244427718549952,155.802585824141,"Cerdocyon_thous 500","Non-Significant",56,294,"_",0.0163437826577909,0.507926932330217
"Cerdocyon_thous","Mammalia",750,-3.34137737098339,1.6534571681917,0.0202323803936483,0.0246227010404061,0.411249810536258,156.751957965793,"Cerdocyon_thous 750","Non-Significant",56,294,"_",0.0341786608311372,0.505057922561536
"Cerdocyon_thous","Mammalia",1000,-3.04741134864931,1.58872981368269,0.0158110645754546,0.0237097023024752,0.50486122642306,157.043027628662,"Cerdocyon_thous 1000","Non-Significant",56,294,"_",0.0453293646129755,0.5039526838
